"ORG_ID","ORGNAME_EN","ORGNAME_FR","DEPT_HEAD_EN"
1,"Agriculture and Agri-Food (Department of)","Agriculture et de l'Agroalimentaire (Ministère de l')","Minister of Agriculture and Agri-Food"
2,"Office of the Auditor General","Bureau du vérificateur général",
4,"Public Service Commission","Commission de la fonction publique",
5,"Foreign Affairs, Trade and Development (Department of)","Affaires étrangères, du Commerce et du Développement (Ministère des)","Minister of Foreign Affairs"
6,"Finance (Department of)","Finances (Ministère des)","Minister of Finance"
7,"Environment (Department of the)","Environnement (Ministère de l')","Minister of Environment and Climate Change"
8,"Office of the Governor General's Secretary","Bureau du secrétaire du gouverneur général",
9,"Senate","Sénat",
11,"Office of the Superintendent of Financial Institutions","Bureau du surintendant des institutions financières","Minister of Finance"
12,"Economic Development Agency of Canada for the Regions of Quebec","Agence de développement économique du Canada pour les régions du Québec",
13,"Justice (Department of)","Justice (Ministère de la)",
14,"Employment and Social Development (Department of)","Emploi et du Développement social (Ministère de l')",
15,"Office of the Chief Electoral Officer","Bureau du directeur général des élections",
16,"Canadian Radio-television and Telecommunications Commission","Conseil de la radiodiffusion et des télécommunications canadiennes",
17,"Library of Parliament","Bibliothèque du Parlement",
18,"National Defence (Department of)","Défense nationale (Ministère de la)",
19,"Office of the Director of Public Prosecutions","Bureau du directeur des poursuites pénales",
21,"Veterans Affairs (Department of)","Anciens Combattants (Ministère des)","Minister of Veterans Affairs"
22,"Health (Department of)","Santé (Ministère de la)",
23,"Atlantic Canada Opportunities Agency","Agence de promotion économique du Canada atlantique",
24,"International Joint Commission (Canadian Section)","Commission mixte internationale (section canadienne)",
25,"Privy Council Office","Bureau du Conseil privé","President of the Queen's Privy Council for Canada"
27,"Natural Sciences and Engineering Research Council","Conseil de recherches en sciences naturelles et en génie",
30,"Royal Canadian Mounted Police","Gendarmerie royale du Canada",
32,"Immigration and Refugee Board","Commission de l'immigration et du statut de réfugié",
33,"Industry (Department of)","Industrie (Ministère de l')",
34,"Transport (Department of)","Transports (Ministère des)","Minister of Transport"
35,"National Research Council of Canada","Conseil national de recherches du Canada",
37,"Telefilm Canada","Téléfilm Canada",
38,"Canada Border Services Agency - (Administered Activities)","Agence des services frontaliers du Canada - (activités administrées)",
39,"National Film Board","Office national du film",
40,"Canadian Transportation Agency","Office des transports du Canada",
41,"Natural Resources (Department of)","Ressources naturelles (Ministère des)",
42,"Department of Crown-Indigenous Relations and Northern Affairs","Ministère des Relations Couronne-Autochtones et des Affaires du Nord",
43,"Canadian Intergovernmental Conference Secretariat","Secrétariat des conférences intergouvernementales canadiennes",
44,"Western Economic Diversification (Department of)","Diversification de l'économie de l'Ouest canadien (Ministère de la)",
46,"Office of the Public Sector Integrity Commissioner","Commissariat à l'intégrité du secteur public",
47,"Canadian Nuclear Safety Commission","Commission canadienne de sûreté nucléaire",
50,"Citizenship and Immigration (Department of)","Citoyenneté et de l'Immigration (Ministère de la)",
51,"Office of the Commissioner for Federal Judicial Affairs","Bureau du commissaire à la magistrature fédérale",
52,"Canada School of Public Service","École de la fonction publique du Canada",
53,"Correctional Service of Canada","Service correctionnel du Canada",
54,"Statistics Canada","Statistique Canada",
56,"Treasury Board Secretariat","Secrétariat du Conseil du Trésor","President of the Treasury Board"
57,"Parole Board of Canada","Commission des libérations conditionnelles du Canada",
61,"Canadian Institutes of Health Research","Instituts de recherche en santé du Canada",
62,"Federal Economic Development Agency for Southern Ontario","Agence fédérale de développement économique pour le Sud de l'Ontario",
